component1,component2,component3,component4,class
-0.000913563,0.008757511,-0.000794248,0.004167674,0
0.006098543,-7.90E-05,0.000238662,0.000308705,0
0.00352407,-0.001693531,0.002476384,0.004204908,0
-0.000930751,0.007725158,-0.000350214,0.005529817,0
0.007421051,-0.004642796,0.00158361,-0.009828915,0
0.007570625,-0.002882519,0.001095985,-0.000123201,0
-0.001096069,0.002290607,0.000925168,-0.028340271,0
0.000536109,0.005402998,0.000351893,-0.005557325,0
0.00608489,0.000941716,-0.000227159,0.001997185,0
0.001197546,-0.001122958,0.003023925,0.004049861,0
-0.005947957,0.007224563,0.002007861,0.005204459,0
0.001566183,0.006741925,-0.000966975,-0.004813812,0
-0.010969145,0.004011438,0.004282438,0.00479142,0
-3.00E-05,0.001924951,0.002294142,0.002443682,0
-0.006510459,0.006264067,0.002376536,0.005710682,0
0.003704883,0.002314351,0.000191908,0.002468642,0
0.004532729,0.001043391,0.000145446,-0.007281073,0
0.00369499,-0.00160672,0.002168657,0.003606385,0
-0.009495943,0.004860019,0.003545731,0.005065833,0
-0.014994545,-0.00790161,0.006770411,0.001514574,1
0.003396053,-0.001670827,0.002115344,0.004962417,0
0.003676838,-0.000823725,0.001797895,0.003991759,0
0.007582475,-0.002459252,0.000655877,-0.003564309,0
0.000690448,0.002437168,0.000874028,0.007014041,0
0.004125135,0.000422875,0.000903609,0.00218929,0
-0.005942995,-0.000948809,0.004982096,0.004735676,0
0.001656802,0.006489059,-0.000921058,0.00126448,0
0.00332703,0.003718256,-0.000188561,0.002798246,0
0.002090162,0.00435216,0.000107027,0.001218523,0
0.004431933,-0.000998937,0.001443958,-0.003743202,0
0.003699048,0.000517712,0.001043972,-0.00818744,0
0.001888081,-0.002788598,0.002171636,-0.028187247,0
0.002977837,0.006139018,-0.001365604,-0.000409657,0
-0.005107269,0.007895471,0.00138759,0.004964097,0
0.00054488,0.003138937,0.001530976,0.001535671,0
0.005778832,-0.000718335,0.000560285,-0.003343902,0
-0.00127198,0.01062621,-0.001417994,0.00307835,0
0.001739098,-0.001002645,0.002834268,0.00400152,0
0.004169681,-0.00022924,0.001074223,-0.009858547,0
0.003952303,0.003354994,-0.000304069,0.001072412,0
