pCom1,pCom2,pCom3,pCom4,class
-27.19108609,-29.67787512,19.48071222,3.042949989,0
24.47621492,-6.024175492,-11.39462837,5.335957169,0
-39.9389202,-10.82804841,-14.76874837,2.101549418,0
-48.00082532,-29.83325727,16.3304114,2.836173385,0
147.9194333,18.56254844,-22.29692937,1.584216503,0
28.0730528,-0.474673494,-20.92425619,5.225414142,0
373.7250433,35.29349845,13.02506273,-9.068985525,0
95.62295048,-8.922042146,11.00820132,-0.042813949,0
5.391950382,-10.44385521,-9.030527329,6.385434422,0
-45.55946945,-11.73946448,-10.32984201,-0.283568509,0
-64.47951753,-29.70666788,20.51712412,-3.585266454,0
93.24679529,-11.50825496,13.79450693,2.375631141,0
-90.13889861,-21.14078165,19.36439093,-10.62537771,0
-20.36399035,-15.42045887,-0.369784751,-0.562245886,0
-76.5677438,-28.10232034,18.83427802,-4.446637478,0
-5.867462224,-14.3309054,-2.840541238,4.415647452,0
119.9089669,3.872856633,-4.085189429,2.144262512,0
-31.62148077,-9.512844521,-14.23823084,2.332778966,0
-85.08646977,-23.42922875,19.57903627,-8.488480012,0
-106.0650818,16.36261648,-0.738261698,-19.82840519,1
-50.98305988,-11.01606546,-14.1343059,2.470649551,0
-34.49170212,-11.46230631,-12.13582368,2.885228614,0
73.61958041,4.688138425,-18.42616147,4.694134176,0
-77.22109902,-20.9041192,0.37835789,2.53061757,0
-6.006425721,-10.46561824,-8.47353264,3.73519253,0
-83.28589032,-12.34345922,-0.671439073,-7.86041686,0
13.77579357,-20.29976126,11.3514282,4.069636373,0
-7.38008173,-17.71529579,1.187836227,4.787692448,0
10.34523327,-16.89366046,4.629329011,3.175165334,0
68.2643159,1.235741745,-11.10258415,1.603986625,0
127.5591226,5.209553573,-4.854684712,0.359424364,0
368.9688314,44.43579173,-4.573731302,-8.498123738,0
39.52911839,-16.64747801,9.48247187,5.020756163,0
-56.1158611,-30.43997467,21.44683138,-2.285746551,0
-2.794159895,-16.14966908,2.544686348,0.547876096,0
68.70334255,0.936173697,-11.61861921,3.634667194,0
-8.886894555,-31.65054244,25.20063317,3.324035047,0
-42.3246945,-11.99053954,-10.72707174,0.354402059,0
148.7383513,9.529083714,-6.782791824,0.108335558,0
16.3876121,-14.20810535,0.01210724,4.858481995,0
-18.39178224,-27.84405712,16.34963012,2.780012644,0
-43.0476733,-19.10690158,-2.751303916,4.780984012,0
109.531348,-2.595117524,4.089166505,1.096870185,1
